Home_team,Away_team,Date_time,Venue,Fulltime_score_home,Fulltime_score_away,Halftime_score_home,Halftime_score_away,wx_temp_c,wx_precip_mm,wx_wind_kph,wx_weathercode,wx_summary
Cardiff,Zebre,"Fri 20th September 2024, 08:35pm SAST",Cardiff Arms Park,22,17,17,3,15.9,0.0,63.7,1,Mainly clear
Edinburgh,Leinster,"Fri 20th September 2024, 08:35pm SAST",Hive Stadium,31,33,12,12,13.3,0.0,56.2,3,Overcast
Dragons RFC,Ospreys,"Sat 21st September 2024, 04:00pm SAST",Rodney Parade,23,21,13,16,19.2,0.3,44.3,51,Drizzle: light
Munster,Connacht,"Sat 21st September 2024, 06:30pm SAST",Thomond Park,35,33,14,19,18.4,0.0,55.8,1,Mainly clear
Benetton,Scarlets,"Sat 21st September 2024, 08:35pm SAST",Stadio Comunale di Monigo,20,20,12,7,17.9,0.0,20.2,0,Clear
Ulster,Glasgow Warriors,"Sat 21st September 2024, 08:45pm SAST",Affidea Stadium,20,19,10,12,15.3,0.0,38.2,0,Clear
Glasgow Warriors,Benetton,"Fri 27th September 2024, 08:35pm SAST",Scotstoun Stadium,42,10,14,7,8.3,0.0,57.2,0,Clear
Leinster,Dragons RFC,"Fri 27th September 2024, 08:35pm SAST",Aviva Stadium,34,6,10,6,10.0,0.0,57.2,1,Mainly clear
Lions,Ulster,"Sat 28th September 2024, 12:55pm SAST",Ellis Park,35,22,15,5,27.0,0.0,105.5,3,Overcast
Bulls,Edinburgh,"Sat 28th September 2024, 03:00pm SAST",Loftus Versfeld,22,16,12,10,31.0,0.0,105.1,3,Overcast
Zebre,Munster,"Sat 28th September 2024, 04:00pm SAST",Stadio Sergio Lanfranchi,42,33,15,28,22.0,0.0,42.1,2,Partly cloudy
Scarlets,Cardiff,"Sat 28th September 2024, 06:15pm SAST",Parc y Scarlets,15,24,15,12,13.0,0.0,34.9,3,Overcast
Ospreys,Stormers,"Sat 28th September 2024, 08:35pm SAST",Brewery Field,37,24,13,16,12.0,0.0,31.0,3,Overcast
Connacht,Sharks,"Sat 28th September 2024, 08:35pm SAST",Dexcom Stadium,36,30,7,27,11.2,0.0,25.6,3,Overcast
Scarlets,Connacht,"Fri 4th October 2024, 08:35pm SAST",Parc y Scarlets,23,24,14,21,13.9,0.2,46.8,51,Drizzle: light
Cardiff,Glasgow Warriors,"Fri 4th October 2024, 08:35pm SAST",Cardiff Arms Park,36,52,12,33,12.5,0.0,48.6,3,Overcast
Lions,Edinburgh,"Sat 5th October 2024, 01:45pm SAST",Ellis Park,55,21,48,0,22.8,0.0,39.6,0,Clear
Bulls,Ulster,"Sat 5th October 2024, 04:00pm SAST",Loftus Versfeld,47,21,21,7,24.5,0.0,47.5,0,Clear
Benetton,Leinster,"Sat 5th October 2024, 06:15pm SAST",Stadio Comunale di Monigo,5,35,0,28,14.6,0.0,24.8,0,Clear
Dragons RFC,Sharks,"Sat 5th October 2024, 06:15pm SAST",Rodney Parade,30,33,22,12,15.1,0.0,77.4,3,Overcast
Munster,Ospreys,"Sat 5th October 2024, 08:35pm SAST",Virgin Media Park,23,0,18,0,13.3,1.2,107.6,55,Drizzle: dense
Zebre,Stormers,"Sat 5th October 2024, 08:35pm SAST",Stadio Sergio Lanfranchi,5,36,0,16,11.9,0.0,19.1,0,Clear
Glasgow Warriors,Zebre,"Fri 11th October 2024, 08:35pm SAST",Scotstoun Stadium,33,3,21,3,8.7,0.7,54.7,53,Drizzle: moderate
Benetton,Sharks,"Sat 12th October 2024, 04:00pm SAST",Stadio Comunale di Monigo,38,10,24,3,19.4,0.0,8.3,3,Overcast
Cardiff,Scarlets,"Sat 12th October 2024, 04:00pm SAST",Cardiff Arms Park,19,25,12,11,12.7,0.0,73.8,0,Clear
Edinburgh,Stormers,"Sat 12th October 2024, 06:15pm SAST",Hive Stadium,38,7,14,7,8.0,0.1,83.2,51,Drizzle: light
Leinster,Munster,"Sat 12th October 2024, 06:45pm SAST",Croke Park,26,12,26,5,10.4,0.0,92.2,0,Clear
Ospreys,Bulls,"Sat 12th October 2024, 08:35pm SAST",Swansea.com Stadium,19,29,5,26,9.9,0.1,60.8,51,Drizzle: light
Ulster,Connacht,"Sat 12th October 2024, 09:00pm SAST",Affidea Stadium,32,27,19,17,6.3,0.0,84.6,1,Mainly clear
Dragons RFC,Lions,"Sun 13th October 2024, 03:30pm SAST",Rodney Parade,19,23,12,13,10.0,0.0,32.4,3,Overcast
Ulster,Ospreys,"Fri 18th October 2024, 08:35pm SAST",Affidea Stadium,36,12,24,7,14.2,0.3,68.4,51,Drizzle: light
Scarlets,Bulls,"Fri 18th October 2024, 08:35pm SAST",Parc y Scarlets,23,22,10,19,14.9,0.3,77.0,51,Drizzle: light
Zebre,Lions,"Sat 19th October 2024, 01:30pm SAST",Stadio Sergio Lanfranchi,9,10,6,7,15.8,3.3,41.4,63,Rain: moderate
Sharks,Glasgow Warriors,"Sat 19th October 2024, 03:45pm SAST",Hollywoodbets Kings Park,28,24,15,12,22.1,0.0,59.8,3,Overcast
Stormers,Munster,"Sat 19th October 2024, 06:00pm SAST",DHL Stadium,34,19,14,12,15.8,0.0,108.0,0,Clear
Edinburgh,Cardiff,"Sat 19th October 2024, 06:15pm SAST",Hive Stadium,27,8,3,5,12.7,0.0,33.8,0,Clear
Connacht,Leinster,"Sat 19th October 2024, 08:35pm SAST",Dexcom Stadium,12,33,5,21,12.3,0.0,52.2,3,Overcast
Dragons RFC,Benetton,"Sat 19th October 2024, 08:35pm SAST",Rodney Parade,21,31,7,10,11.3,0.0,27.0,3,Overcast
Scarlets,Zebre,"Fri 25th October 2024, 08:35pm SAST",Parc y Scarlets,30,8,11,8,12.3,0.0,54.0,0,Clear
Benetton,Bulls,"Fri 25th October 2024, 08:35pm SAST",Stadio Comunale di Monigo,15,17,9,3,16.2,0.0,21.6,3,Overcast
Stormers,Glasgow Warriors,"Sat 26th October 2024, 01:45pm SAST",Danie Craven Stadium,17,28,7,7,27.1,0.0,67.3,3,Overcast
