Home_team,Away_team,Date_time,Venue,Fulltime_score_home,Fulltime_score_away,Halftime_score_home,Halftime_score_away
Stormers,Leinster,"Fri 26th September 2025, 07:00pm SAST",DHL Stadium,35.0,0.0,6.0,0.0
Ulster,Dragons RFC,"Fri 26th September 2025, 09:05pm SAST",Affidea Stadium,42.0,21.0,28.0,14.0
Glasgow Warriors,Sharks,"Fri 26th September 2025, 09:05pm SAST",Scotstoun Stadium,35.0,19.0,14.0,12.0
Bulls,Ospreys,"Sat 27th September 2025, 02:00pm SAST",Loftus Versfeld,53.0,40.0,19.0,26.0
Zebre,Edinburgh,"Sat 27th September 2025, 04:05pm SAST",Stadio Sergio Lanfranchi,31.0,28.0,21.0,14.0
Scarlets,Munster,"Sat 27th September 2025, 06:30pm SAST",Parc y Scarlets,21.0,34.0,0.0,13.0
Cardiff,Lions,"Sat 27th September 2025, 08:45pm SAST",Cardiff Arms Park,33.0,20.0,14.0,13.0
Connacht,Benetton,"Sat 27th September 2025, 08:45pm SAST",Dexcom Stadium,26.0,15.0,12.0,3.0
Edinburgh,Ulster,"Fri 3rd October 2025, 02:00am SAST",Hive Stadium,,,,
Stormers,Ospreys,"Fri 3rd October 2025, 07:00pm SAST",DHL Stadium,26.0,10.0,8.0,10.0
Dragons RFC,Sharks,"Fri 3rd October 2025, 09:05pm SAST",Rodney Parade,17.0,17.0,14.0,17.0
Connacht,Scarlets,"Sat 4th October 2025, 02:00am SAST",Dexcom Stadium,,,,
Benetton,Glasgow Warriors,"Sat 4th October 2025, 06:30pm SAST",Stadio Comunale di Monigo,16.0,14.0,3.0,14.0
Bulls,Leinster,"Sat 4th October 2025, 06:30pm SAST",Loftus Versfeld,39.0,31.0,22.0,10.0
Munster,Cardiff,"Sat 4th October 2025, 08:45pm SAST",Thomond Park,23.0,20.0,5.0,5.0
Zebre,Lions,"Sun 5th October 2025, 04:00pm SAST",Stadio Sergio Lanfranchi,22.0,20.0,12.0,3.0
Munster,Edinburgh,"Fri 10th October 2025, 08:45pm SAST",Virgin Media Park,20.0,19.0,10.0,12.0
Scarlets,Stormers,"Fri 10th October 2025, 08:45pm SAST",Parc y Scarlets,0.0,34.0,0.0,17.0
Benetton,Lions,"Sat 11th October 2025, 04:00pm SAST",Stadio Comunale di Monigo,41.0,15.0,24.0,10.0
Ospreys,Zebre,"Sat 11th October 2025, 04:00pm SAST",Brewery Field,24.0,0.0,14.0,0.0
Glasgow Warriors,Dragons RFC,"Sat 11th October 2025, 06:30pm SAST",Scotstoun Stadium,49.0,0.0,14.0,0.0
Leinster,Sharks,"Sat 11th October 2025, 06:30pm SAST",Aviva Stadium,31.0,5.0,21.0,5.0
Ulster,Bulls,"Sat 11th October 2025, 08:45pm SAST",Affidea Stadium,28.0,7.0,7.0,7.0
Cardiff,Connacht,"Sat 11th October 2025, 08:45pm SAST",Cardiff Arms Park,14.0,8.0,7.0,3.0
Edinburgh,Benetton,"Fri 17th October 2025, 08:45pm SAST",Hive Stadium,43.0,0.0,21.0,0.0
Connacht,Bulls,"Fri 17th October 2025, 08:45pm SAST",Dexcom Stadium,27.0,28.0,7.0,12.0
Dragons RFC,Cardiff,"Fri 17th October 2025, 08:45pm SAST",Rodney Parade,17.0,24.0,7.0,17.0
Lions,Scarlets,"Sat 18th October 2025, 01:45pm SAST",Ellis Park,29.0,18.0,5.0,3.0
Sharks,Ulster,"Sat 18th October 2025, 04:00pm SAST",Hollywoodbets Kings Park,26.0,34.0,5.0,20.0
Leinster,Munster,"Sat 18th October 2025, 06:15pm SAST",Croke Park,14.0,31.0,7.0,21.0
Zebre,Stormers,"Sat 18th October 2025, 08:45pm SAST",Stadio Sergio Lanfranchi,13.0,31.0,7.0,12.0
Ospreys,Glasgow Warriors,"Sat 18th October 2025, 08:45pm SAST",Brewery Field,17.0,42.0,10.0,21.0
Glasgow Warriors,Bulls,"Fri 24th October 2025, 08:45pm SAST",Scotstoun Stadium,21.0,12.0,7.0,5.0
Lions,Ulster,"Sat 25th October 2025, 01:45pm SAST",Ellis Park,49.0,31.0,17.0,19.0
Sharks,Scarlets,"Sat 25th October 2025, 04:00pm SAST",Hollywoodbets Kings Park,29.0,19.0,19.0,14.0
Leinster,Zebre,"Sat 25th October 2025, 06:30pm SAST",Aviva Stadium,50.0,26.0,26.0,21.0
Benetton,Stormers,"Sat 25th October 2025, 06:30pm SAST",Stadio Comunale di Monigo,16.0,31.0,16.0,8.0
Dragons RFC,Ospreys,"Sat 25th October 2025, 06:30pm SAST",Rodney Parade,19.0,19.0,7.0,12.0
Munster,Connacht,"Sat 25th October 2025, 08:45pm SAST",Thomond Park,17.0,15.0,12.0,15.0
Cardiff,Edinburgh,"Sat 25th October 2025, 08:45pm SAST",Cardiff Arms Park,20.0,19.0,12.0,19.0
Ulster,Benetton,"Fri 28th November 2025, 09:45pm SAST",Affidea Stadium,,,,
Dragons RFC,Leinster,"Fri 28th November 2025, 09:45pm SAST",Rodney Parade,,,,
Bulls,Lions,"Sat 29th November 2025, 02:00pm SAST",Loftus Versfeld,,,,
Zebre,Cardiff,"Sat 29th November 2025, 03:00pm SAST",Stadio Sergio Lanfranchi,,,,
Munster,Stormers,"Sat 29th November 2025, 07:30pm SAST",Thomond Park,,,,
Edinburgh,Ospreys,"Sat 29th November 2025, 07:30pm SAST",Hive Stadium,,,,
Connacht,Sharks,"Sat 29th November 2025, 09:45pm SAST",Dexcom Stadium,,,,
Scarlets,Glasgow Warriors,"Sat 29th November 2025, 09:45pm SAST",Parc y Scarlets,,,,
Cardiff,Scarlets,"Fri 19th December 2025, 09:45pm SAST",Cardiff Arms Park,,,,
Leinster,Ulster,"Fri 19th December 2025, 09:45pm SAST",Aviva Stadium,,,,
Stormers,Lions,"Sat 20th December 2025, 03:30pm SAST",DHL Stadium,,,,
Benetton,Zebre,"Sat 20th December 2025, 04:00pm SAST",Stadio Comunale di Monigo,,,,
Glasgow Warriors,Edinburgh,"Sat 20th December 2025, 05:00pm SAST",Hampden Park,,,,
Sharks,Bulls,"Sat 20th December 2025, 06:00pm SAST",Hollywoodbets Kings Park,,,,
Ospreys,Munster,"Sat 20th December 2025, 07:30pm SAST",Brewery Field,,,,
Dragons RFC,Connacht,"Sat 20th December 2025, 09:45pm SAST",Rodney Parade,,,,
Cardiff,Dragons RFC,"Fri 26th December 2025, 05:00pm SAST",Cardiff Arms Park,,,,
Scarlets,Ospreys,"Fri 26th December 2025, 07:30pm SAST",Parc y Scarlets,,,,
Zebre,Benetton,"Sat 27th December 2025, 04:30pm SAST",Stadio Sergio Lanfranchi,,,,
Edinburgh,Glasgow Warriors,"Sat 27th December 2025, 05:00pm SAST",Scottish Gas Murrayfield,,,,
Connacht,Ulster,"Sat 27th December 2025, 07:30pm SAST",Dexcom Stadium,,,,
Munster,Leinster,"Sat 27th December 2025, 09:45pm SAST",Thomond Park,,,,
Dragons RFC,Scarlets,"Thu 1st January 2026, 05:00pm SAST",Rodney Parade,,,,
Ospreys,Cardiff,"Thu 1st January 2026, 07:30pm SAST",Brewery Field,,,,
Ulster,Munster,"Fri 2nd January 2026, 09:45pm SAST",Affidea Stadium,,,,
Sharks,Lions,"Sat 3rd January 2026, 03:30pm SAST",Hollywoodbets Kings Park,,,,
Stormers,Bulls,"Sat 3rd January 2026, 06:00pm SAST",DHL Stadium,,,,
Benetton,Edinburgh,"Sat 3rd January 2026, 07:30pm SAST",Stadio Comunale di Monigo,,,,
Leinster,Connacht,"Sat 3rd January 2026, 07:30pm SAST",Aviva Stadium,,,,
