Fulltime_score_home_predicted,Fulltime_score_away_predicted,Halftime_score_home_predicted,Halftime_score_away_predicted,Home_team,Away_team,Date_time,Venue,Fulltime_score_home,Fulltime_score_away,Halftime_score_home,Halftime_score_away,wx_temp_c,wx_precip_mm,wx_wind_kph,wx_weathercode,wx_summary,time_bucket,is_in_south_africa,is_main_home_stadium
30.965140628489145,8.154848346751296,11.274166666666666,11.939166666666667,Stormers,Leinster,2025-09-26 19:00:00,DHL Stadium,35.0,0.0,6.0,0.0,20.6,0.0,41.4,0.0,Clear,evening,True,True
36.35771903648822,13.993920460809655,10.3625,12.005,Ulster,Dragons RFC,2025-09-26 21:05:00,Affidea Stadium,42.0,21.0,28.0,14.0,12.0,0.0,63.0,3.0,Overcast,evening,False,True
29.167904678460644,14.852330766435456,10.386666666666667,11.968333333333334,Glasgow Warriors,Sharks,2025-09-26 21:05:00,Scotstoun Stadium,35.0,19.0,14.0,12.0,11.4,0.0,38.5,3.0,Overcast,evening,False,True
43.46469943667441,31.981516683316713,13.181666666666667,12.570833333333333,Bulls,Ospreys,2025-09-27 14:00:00,Loftus Versfeld,53.0,40.0,19.0,26.0,22.2,1.0,26.6,55.0,Drizzle: dense,early_afternoon,True,True
27.115956641891096,22.440440365633936,12.854166666666666,12.265833333333333,Zebre,Edinburgh,2025-09-27 16:05:00,Stadio Sergio Lanfranchi,31.0,28.0,21.0,14.0,15.7,1.9,14.0,61.0,Rain: slight,late_afternoon,False,True
18.221212426380813,29.5208333396179,12.74,12.220833333333333,Scarlets,Munster,2025-09-27 18:30:00,Parc y Scarlets,21.0,34.0,0.0,13.0,14.5,0.6,65.9,53.0,Drizzle: moderate,late_afternoon,False,True
26.041580146048567,18.107724063824314,10.344166666666666,12.091666666666667,Cardiff,Lions,2025-09-27 20:45:00,Cardiff Arms Park,33.0,20.0,14.0,13.0,14.4,0.0,51.5,3.0,Overcast,evening,False,True
29.733017768148738,13.821031932671133,10.415833333333333,11.9125,Connacht,Benetton,2025-09-27 20:45:00,Dexcom Stadium,26.0,15.0,12.0,3.0,10.8,0.0,37.1,3.0,Overcast,evening,False,True
,,,,Edinburgh,Ulster,2025-10-03 02:00:00,Hive Stadium,,,,,15.1,0.2,90.4,51.0,Drizzle: light,evening,False,True
30.66022410612263,8.431703108656055,11.328333333333333,12.000833333333333,Stormers,Ospreys,2025-10-03 19:00:00,DHL Stadium,26.0,10.0,8.0,10.0,21.7,0.0,49.7,0.0,Clear,evening,True,True
